Synema palliatum O. Pickard-Cambridge, 1891 | Panama
Synema paraense Mello-Leitão, 1929 | Brazil
Synema parvulum (Hentz, 1847) | USA, Mexico
Synema pereirai Soares, 1943 | Brazil
Synema pluripunctatum Mello-Leitão, 1929 | Brazil
Synema pusillum Caporiacco, 1955 | Venezuela
Synema putum O. Pickard-Cambridge, 1891 | Guatemala
Synema quadratum Mello-Leitão, 1929 | Brazil
Synema rubromaculatum Keyserling, 1880 | Colombia, Brazil
Synema schulzi Dahl, 1907 | Brazil
Synema setiferum Mello-Leitão, 1929 | Brazil
Synema socium O. Pickard-Cambridge, 1891 | Panama
Synema spinosum Mello-Leitão, 1929 | Brazil
Synema spirale Dahl, 1907 | South America
Synema ternetzi Mello-Leitão, 1939 | Paraguay
Synema tricalcaratum Mello-Leitão, 1929 | Brazil
Synema trimaculosum Schmidt, 1956 | Ecuador
Synema vittatum Keyserling, 1880 | Peru
Thomisus guadahyrensis Keyserling, 1880 | Peru
Thomisus odiosus O. Pickard-Cambridge, 1898 | Mexico
Titidiops melanosternus Mello-Leitão, 1929 | Brazil
Titidius albifrons Mello-Leitão, 1929 | Brazil
Titidius albiscriptus Mello-Leitão, 1941 | Brazil
Titidius caninde Esmerio & Lise, 1996 | Brazil
Titidius curvilineatus Mello-Leitão, 1941 | Brazil
Titidius difficilis Mello-Leitão, 1929 | Brazil
Titidius dubitatus B. A. M. Soares & H. E. M. Soares, 1946 | Brazil
Titidius dubius Mello-Leitão, 1929 | Brazil
Titidius galbanatus (Keyserling, 1880) | Colombia, Brazil
Titidius gurupi Esmerio & Lise, 1996 | Brazil
Titidius haemorrhous Mello-Leitão, 1947 | Brazil
Titidius ignestii Caporiacco, 1947 | Guyana
Titidius longicaudatus Mello-Leitão, 1943 | Brazil
Titidius marmoratus Mello-Leitão, 1929 | Brazil
Titidius multifasciatus Mello-Leitão, 1929 | Brazil
Titidius pauper Mello-Leitão, 1947 | Brazil, Argentina
Titidius quinquenotatus Mello-Leitão, 1929 | Bolivia, Brazil, Suriname
Titidius rubescens Caporiacco, 1947 | Venezuela, Brazil, Guiana, Suriname
Titidius rubrosignatus (Keyserling, 1880) | Brazil
Titidius uncatus Mello-Leitão, 1929 | Brazil
Titidius urucu Esmerio & Lise, 1996 | Brazil
Tmarus aberrans Mello-Leitão, 1944 | Brazil
Tmarus aculeatus Chickering, 1950 | Panama
Tmarus albifrons Piza, 1944 | Brazil
Tmarus albisterni Mello-Leitão, 1942 | Argentina
Tmarus albolineatus Keyserling, 1880 | Brazil
Tmarus alticola Mello-Leitão, 1929 | Brazil
Tmarus amazonicus Mello-Leitão, 1929 | Brazil
Tmarus ampullatus Soares, 1943 | Brazil
Tmarus aporus Soares & Camargo, 1948 | Brazil
Tmarus atypicus Mello-Leitão, 1929 | Brazil
Tmarus australis Mello-Leitão, 1941 | Argentina
Tmarus baptistai Silva-Moreira, 2010 | Brazil
Tmarus bifasciatus Mello-Leitão, 1929 | Peru, Brazil
Tmarus bifidipalpus Mello-Leitão, 1943 | Brazil
Tmarus biocellatus Mello-Leitão, 1929 | Brazil
Tmarus bisectus Piza, 1944 | Brazil
Tmarus borgmeyeri Mello-Leitão, 1929 | Brazil
Tmarus bucculentus Chickering, 1950 | Panama
Tmarus caeruleus Keyserling, 1880 | Brazil
Tmarus camellinus Mello-Leitão, 1929 | Brazil
Tmarus candefactus Caporiacco, 1954 | French Guiana
Tmarus candidissimus Mello-Leitão, 1947 | Brazil
Tmarus caretta Mello-Leitão, 1929 | Brazil
Tmarus caxambuensis Mello-Leitão, 1929 | Brazil
Tmarus cinereus Mello-Leitão, 1929 | Brazil, Guyana
Tmarus clavimanus Mello-Leitão, 1929 | Brazil
Tmarus clavipes Keyserling, 1891 | Brazil
Tmarus cognatus Chickering, 1950 | Panama
Tmarus contortus Chickering, 1950 | Panama
Tmarus corruptus O. Pickard-Cambridge, 1892 | Mexico, Panama
Tmarus craneae Chickering, 1966 | Trinidad
Tmarus cretatus Chickering, 1965 | Panama
Tmarus curvus Chickering, 1950 | Panama
Tmarus decens O. Pickard-Cambridge, 1892 | Panama
Tmarus decoloratus Keyserling, 1883 | Peru
Tmarus decorus Chickering, 1965 | Panama
Tmarus digitatus Mello-Leitão, 1929 | Brazil
Tmarus ehecatltocatl Jiménez, 1992 | Mexico
Tmarus elongatus Mello-Leitão, 1929 | Brazil
Tmarus espiritosantensis B. A. M. Soares & H. E. M. Soares, 1946 | Brazil
Tmarus estylifer Mello-Leitão, 1929 | Brazil
Tmarus fallax Mello-Leitão, 1929 | Brazil, Guyana
Tmarus farri Chickering, 1966 | Jamaica
Tmarus formosus Mello-Leitão, 1917 | Brazil
Tmarus galapagosensis Baert, 2013 | Ecuador (Galapagos Is.)
Tmarus geayi Caporiacco, 1954 | French Guiana
Tmarus grandis Mello-Leitão, 1929 | Brazil
Tmarus hirsutus Mello-Leitão, 1929 | Brazil
Tmarus histrix Caporiacco, 1954 | French Guiana
Tmarus holmbergi Schiapelli & Gerschman, 1941 | Argentina
Tmarus humphreyi Chickering, 1965 | Panama
Tmarus impedus Chickering, 1965 | Panama
Tmarus incertus Keyserling, 1880 | Colombia
Tmarus incognitus Mello-Leitão, 1929 | Brazil
Tmarus ineptus O. Pickard-Cambridge, 1892 | Panama, Colombia
Tmarus infrasigillatus Mello-Leitão, 1947 | Brazil
Tmarus innotus Chickering, 1965 | Panama
Tmarus innumus Chickering, 1965 | Panama
Tmarus insuetus Chickering, 1966 | Trinidad
Tmarus intentus O. Pickard-Cambridge, 1892 | Guatemala, Panama
Tmarus interritus Keyserling, 1880 | Panama, Brazil
Tmarus jelskii (Taczanowski, 1872) | French Guiana
Tmarus jocosus O. Pickard-Cambridge, 1898 | Costa Rica
Tmarus levii Chickering, 1965 | Panama
Tmarus lichenoides Mello-Leitão, 1929 | Brazil
Tmarus littoralis Keyserling, 1880 | Brazil
Tmarus longus Chickering, 1965 | Panama
Tmarus maculosus Keyserling, 1880 | Colombia
Tmarus menotus Chickering, 1966 | Jamaica
Tmarus metropolitanus Mello-Leitão, 1929 | Brazil
Tmarus minensis Mello-Leitão, 1929 | Brazil
Tmarus misumenoides Mello-Leitão, 1927 | Brazil
Tmarus montericensis Keyserling, 1880 | Peru
Tmarus morosus Chickering, 1950 | Panama, Colombia
Tmarus mourei Mello-Leitão, 1947 | Brazil
Tmarus mundulus O. Pickard-Cambridge, 1892 | Panama
Tmarus mutabilis Soares, 1944 | Brazil
Tmarus nigrescens Mello-Leitão, 1929 | Brazil
Tmarus nigridorsi Mello-Leitão, 1929 | Brazil
Tmarus nigrofasciatus Mello-Leitão, 1929 | Brazil
Tmarus nigroviridis Mello-Leitão, 1929 | Brazil
Tmarus obesus Mello-Leitão, 1929 | Brazil, French Guiana
Tmarus obsecus Chickering, 1965 | Panama
Tmarus pallidus Mello-Leitão, 1929 | Brazil
Tmarus parallelus Mello-Leitão, 1943 | Brazil
Tmarus parki Chickering, 1950 | Panama
Tmarus paulensis Piza, 1935 | Brazil
Tmarus pauper O. Pickard-Cambridge, 1892 | Panama
Tmarus perditus Mello-Leitão, 1929 | Brazil
Tmarus peregrinus Chickering, 1950 | Panama
Tmarus peruvianus Berland, 1913 | Peru
Tmarus pizai Soares, 1941 | Brazil
Tmarus planifrons Mello-Leitão, 1943 | Brazil
Tmarus pleuronotatus Mello-Leitão, 1941 | Brazil
Tmarus plurituberculatus Mello-Leitão, 1929 | Brazil
Tmarus polyandrus Mello-Leitão, 1929 | Brazil
Tmarus posticatus Simon, 1929 | Brazil
Tmarus primitivus Mello-Leitão, 1929 | Brazil
Tmarus probus Chickering, 1950 | Panama
Tmarus productus Chickering, 1950 | Panama
Tmarus prognathus Simon, 1929 | Brazil
Tmarus protobius Chickering, 1965 | Panama
Tmarus pugnax Mello-Leitão, 1929 | Brazil
Tmarus punctatus (Nicolet, 1849) | Chile
Tmarus rarus B. A. M. Soares & H. E. M. Soares, 1946 | Brazil
Tmarus rubinus Chickering, 1965 | Panama
Tmarus separatus Banks, 1898 | Panama
Tmarus sigillatus Chickering, 1950 | Panama
Tmarus stolzmanni Keyserling, 1880 | Peru
Tmarus striolatus Mello-Leitão, 1943 | Brazil
Tmarus studiosus O. Pickard-Cambridge, 1892 | Panama
Tmarus tamazolinus Jiménez, 1988 | Mexico
Tmarus tinctus Keyserling, 1880 | Peru
Tmarus trifidus Mello-Leitão, 1929 | Brazil
Tmarus trituberculatus Mello-Leitão, 1929 | Brazil
Tmarus variatus Keyserling, 1891 | Brazil
Tmarus verrucosus Mello-Leitão, 1948 | Guyana
Tmarus vertumus Chickering, 1966 | Puerto Rico
Tmarus villasboasi Mello-Leitão, 1949 | Brazil
Tmarus viridis Keyserling, 1880 | Peru, Brazil
Tmarus vitusus Chickering, 1965 | Mexico, Panama
Tmarus wiedenmeyeri Schenkel, 1953 | Venezuela
Ulocymus gounellei Simon, 1886 | Brazil
Ulocymus intermedius Mello-Leitão, 1929 | Brazil
Ulocymus muricatus (Mello-Leitão, 1942) | Argentina
Ulocymus quimiliensis (Mello-Leitão, 1942) | Argentina
Ulocymus sulcatus Mello-Leitão, 1929 | Brazil
